Control ID,Industry,Process,Sub-process,Risk ID,Risk,Risk rating,Control objective,Control description,Control type,Control nature,Frequency,Assertions,COSO component,Key control,Fraud relevant,Control owner,Segregation of duties,Test of design,Test of operating effectiveness,Population / evidence source,Sample size guidance
P2P-14,All industries,Procure to Pay,Disbursement,R-P2P-14,The payment file is altered between approval in the ERP and receipt by the bank.,Medium,Ensure the integrity of the payment file in transit to the bank.,"Payment files are transmitted to the bank over an encrypted channel with hash-total validation. The bank rejects files failing validation, and rejections are investigated by Treasury.",Preventive,Automated,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Treasury Manager,File transmission access restricted and segregated from payment approval.,"Inspect the interface configuration, encryption and hash-total validation settings.",Inspect the transmission log for the period for rejected or failed files and evidence of investigation. Confirm control totals agree between ERP and bank confirmations for a sample.,Bank interface transmission logs,"25 transmissions, plus all rejections"
P2P-15,All industries,Procure to Pay,Monitoring,R-P2P-15,Debit balances and long-outstanding items in accounts payable indicate unrecovered overpayments or misstatement.,Low,Ensure aged and debit balances in accounts payable are identified and resolved.,"The AP Manager reviews the aged accounts payable listing monthly, investigating debit balances and items outstanding beyond terms, and documents resolution.",Detective,IT-Dependent Manual,Monthly,"A/V, C",Monitoring Activities,No,No,Accounts Payable Manager,Reviewer independent of invoice processing.,Inspect the review procedure and the ageing report parameters.,Select a sample of monthly reviews; inspect evidence of investigation and resolution of debit and aged balances.,Monthly AP ageing reports,3 to 5 month ends
O2C-01,All industries,Order to Cash,Customer Master,R-O2C-01,"Fictitious or unauthorised customers are created, or remittance details are altered, enabling diversion of receipts or recognition of invalid revenue.",High,Ensure customer master additions and changes are verified and authorised before activation.,New customers and changes to existing customer bank or remittance details are independently verified against supporting documentation and approved by the Credit Manager before the record is activated in the ERP.,Preventive,IT-Dependent Manual,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,Credit Manager,"Requestor of a customer change must not approve it, and must not apply cash receipts.",Inspect the customer maintenance procedure and ERP workflow to confirm approval precedes activation.,Select a sample of customer additions and remittance detail changes; inspect evidence of verification and approval prior to activation.,ERP customer master change log,"25 (per transaction, manual)"
O2C-02,All industries,Order to Cash,Credit Management,R-O2C-02,"Credit is extended to customers without assessment of creditworthiness, resulting in receivables that are not collectable.",Medium,Ensure customer credit limits are assessed and approved in line with the credit policy.,Credit limits are established from a documented credit assessment and approved in accordance with the credit policy authority matrix. Limits are reassessed at least annually and on trigger events.,Preventive,Manual,Event Driven,A/V,Control Activities,Yes,No,Credit Manager,Credit assessment prepared and approved by different individuals; approver independent of sales.,Inspect the credit policy and reconcile approval thresholds to the authority matrix.,Select a sample of new and revised credit limits; inspect the credit assessment and approval at the appropriate authority level.,Customer credit limit change log,25 credit limit changes
O2C-03,All industries,Order to Cash,Credit Management,R-O2C-03,"Orders are released to customers who are over their credit limit or on hold, increasing exposure to uncollectable balances.",Medium,Ensure orders exceeding credit limits are blocked and released only with authorisation.,The ERP automatically places on hold any sales order that would take the customer beyond the approved credit limit or that is past due. Release requires Credit Manager entitlement and is logged.,Preventive,Automated,Per Transaction,A/V,Control Activities,Yes,No,Credit Manager,Sales personnel do not hold credit release entitlement.,Inspect the credit check configuration and confirm the hold is enforced rather than advisory.,Attempt order entry beyond limit in a test client. Inspect the credit release log for the period and evaluate releases for authorisation.,ERP credit hold and release log,Full population of releases
O2C-04,All industries,Order to Cash,Pricing,R-O2C-04,"Sales are invoiced at incorrect prices or unauthorised discounts, misstating revenue and receivables.",High,Ensure prices and discounts applied to sales orders are authorised and accurate.,Price and discount master data changes require approval by the Commercial Director in line with the pricing policy. The ERP defaults pricing from the approved master; manual overrides are blocked above defined discount thresholds.,Preventive,IT-Dependent Manual,Per Transaction,"A/V, E/O",Control Activities,Yes,Yes,Commercial Director,Sales representatives cannot amend the price master or approve their own discount overrides.,"Inspect the pricing policy, the price master change workflow, and the override threshold configuration.",Select a sample of price master changes and of discount overrides; inspect approval. Re-perform pricing on a sample of invoices against the approved price master.,Price master change log; invoice register,25 changes and 25 invoices
O2C-05,All industries,Order to Cash,Shipping,R-O2C-05,"Goods are despatched without a valid sales order, or despatches are not recorded, leading to unbilled shipments and understated revenue.",High,Ensure all despatches are supported by an approved order and are recorded completely.,Goods are released from the warehouse only against an approved sales order. Despatch is recorded in the ERP at the point of shipment and generates a shipping document referenced to the order.,Preventive,IT-Dependent Manual,Per Transaction,"C, E/O, CO",Control Activities,Yes,No,Distribution Manager,Warehouse despatch segregated from order entry and from invoicing.,Inspect the despatch procedure and ERP configuration linking despatch to an approved order.,Trace a sample of shipping documents to approved orders and to recording in the ERP. Test cutoff either side of period end.,Shipping document file; ERP delivery table,"25, plus cutoff testing"
O2C-06,All industries,Order to Cash,Billing,R-O2C-06,"Shipments are not invoiced, or are invoiced more than once, misstating revenue and receivables.",High,"Ensure all despatches are invoiced once, completely and accurately.","The ERP generates invoices from despatch records. The Billing Supervisor reviews the daily exception report of despatches not invoiced and invoices without a despatch, and resolves all items.",Detective,IT-Dependent Manual,Daily,"C, E/O, A/V",Control Activities,Yes,Yes,Billing Supervisor,Reviewer independent of despatch recording.,Inspect the exception report definition and confirm it captures both directions of mismatch.,Select a sample of daily reviews; inspect evidence of investigation and clearance of exceptions.,Daily billing exception reports,25 days
O2C-07,All industries,Order to Cash,Revenue Recognition,R-O2C-07,"Revenue is recognised in the incorrect period or before the performance obligation is satisfied, misstating reported results.",High,Ensure revenue is recognised in accordance with the applicable framework and in the correct period.,"The Financial Controller reviews the revenue recognition analysis at each period end, confirming that performance obligations, transfer of control and contract terms support the timing and amount recognised, including for non-standard and multi-element arrangements.",Detective,Manual,Monthly,"CO, E/O, A/V",Control Activities,Yes,Yes,Financial Controller,Preparer of the analysis is not the reviewer; commercial teams do not determine accounting conclusions.,"Inspect the revenue recognition policy and the review template, including criteria for identifying non-standard arrangements.",Select a sample of month ends; re-perform the analysis for a selection of contracts and inspect evidence of review and conclusion.,Monthly revenue recognition files; contract register,3 to 5 month ends
O2C-08,All industries,Order to Cash,Credit Notes,R-O2C-08,Credit notes are issued without justification to conceal uncollectable balances or fictitious sales.,High,Ensure credit notes are supported and authorised in line with the delegation of authority.,Credit notes require documented justification and approval per the delegation of authority. Credits above threshold require Financial Controller approval. The ERP blocks posting without approval.,Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Financial Controller,Raiser of a credit note cannot approve it; sales cannot approve credits to their own accounts.,Reconcile credit note approval thresholds to the delegation of authority.,Select a sample of credit notes across value bands; inspect supporting justification and approval prior to posting.,Credit note register,25 across value bands
O2C-09,All industries,Order to Cash,Cash Application,R-O2C-09,"Receipts are misapplied or misappropriated, and customer balances are misstated.",High,Ensure customer receipts are applied accurately and completely to the correct accounts.,Receipts are applied from the bank statement to customer accounts daily. Unapplied and suspense items are reviewed weekly by the AR Supervisor and cleared. Application is reconciled to bank receipts.,Detective,IT-Dependent Manual,Weekly,"C, A/V, E/O",Control Activities,Yes,Yes,Accounts Receivable Supervisor,"Cash application segregated from credit note approval, customer master and bank reconciliation.",Inspect the cash application procedure and the unapplied cash review template.,Select a sample of weekly reviews; inspect ageing and clearance of unapplied items. Reconcile receipts applied to bank receipts for a sample of days.,Unapplied cash reports; bank statements,25 weeks
O2C-10,All industries,Order to Cash,Period End,R-O2C-10,"The accounts receivable subledger does not agree to the general ledger, indicating unrecorded or erroneous transactions.",High,Ensure the AR subledger reconciles to the general ledger each period.,"The Financial Accountant reconciles the AR subledger to the general ledger control account monthly. Reconciling items are explained and cleared, and the reconciliation is reviewed and approved by the Financial Controller.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer; neither posts manual journals to the AR control account.,Inspect the reconciliation template and the investigation threshold for reconciling items.,"Select a sample of monthly reconciliations; verify accuracy, agreement to source reports, and evidence of timely review.",Monthly AR reconciliations,3 to 5 month ends
O2C-11,All industries,Order to Cash,Provisioning,R-O2C-11,"The allowance for expected credit losses is understated, overstating receivables and results.",High,Ensure the allowance for expected credit losses is complete and supportable.,The Credit Manager prepares the expected credit loss calculation quarterly using the approved provisioning matrix and specific assessment of significant or disputed balances. The Financial Controller reviews and approves the provision and the underlying assumptions.,Detective,Manual,Quarterly,A/V,Control Activities,Yes,No,Financial Controller,Preparer and reviewer are different; sales does not influence provisioning conclusions.,"Inspect the provisioning methodology, the ageing bands and the loss rates applied.",Select the quarters in the period; re-perform the calculation and inspect support for specific provisions and for changes in assumptions.,Quarterly ECL calculations and AR ageing,All quarters in period
O2C-12,All industries,Order to Cash,Access & SoD,R-O2C-12,"A single individual can create a customer, raise a credit note and apply cash, enabling concealment of misappropriated receipts.",High,Ensure incompatible duties across the order to cash cycle are segregated in the ERP.,"ERP role configuration prevents any single user from holding customer master maintenance, credit note approval and cash application entitlements. Conflicts are blocked at role assignment.",Preventive,Automated,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,IT Security / ERP Access Administrator,This control is the segregation mechanism; ruleset changes require independent approval.,Inspect the SoD ruleset and confirm the conflict set is defined and blocking.,"Inspect the role conflict report for the period, plus any approved mitigating-control exceptions.",ERP role conflict report,Full population plus all exceptions
INV-01,All industries,Inventory & Costing,Standard Costing,R-INV-01,"Standard costs are inaccurate or updated without authorisation, misstating inventory valuation and cost of sales.",High,Ensure standard cost changes are supported and authorised before release.,"Proposed standard cost changes are supported by current input costs and bills of material, reviewed by the Cost Accountant and approved by the Financial Controller before the cost roll is released.",Preventive,IT-Dependent Manual,Annual,A/V,Control Activities,Yes,No,Financial Controller,Cost preparer does not release the cost roll to production.,Inspect the costing policy and the cost roll release procedure.,"For each cost roll in the period, inspect the supporting analysis and evidence of approval prior to release.",Cost roll documentation,All cost rolls in period
INV-02,All industries,Inventory & Costing,Variance Analysis,R-INV-02,"Cost variances are not investigated, so errors in costing or consumption remain in inventory and cost of sales.",Medium,Ensure manufacturing and purchase price variances are analysed and resolved.,"The Cost Accountant prepares a monthly analysis of purchase price, usage and labour variances against threshold, investigates items exceeding tolerance, and the Financial Controller reviews the analysis and the resulting adjustments.",Detective,IT-Dependent Manual,Monthly,A/V,Control Activities,Yes,No,Financial Controller,Preparer and reviewer are different individuals.,Inspect the variance report definition and the investigation thresholds.,"Select a sample of month ends; inspect the analysis, evidence of investigation of items above tolerance, and review approval.",Monthly variance analysis files,3 to 5 month ends
INV-03,All industries,Inventory & Costing,Physical Count,R-INV-03,"Recorded inventory quantities do not reflect quantities on hand, misstating inventory and cost of sales.",High,Ensure recorded inventory quantities are validated by physical count.,"A cycle count programme covers all stock locations over the year, with high-value items counted more frequently. Counts are performed by personnel independent of custody, and results are reconciled to system quantities.",Detective,Manual,Monthly,"E/O, C",Control Activities,Yes,Yes,Inventory Control Manager,Counters independent of warehouse custody; count sheets not pre-populated with system quantities.,Inspect the cycle count programme and confirm coverage of all locations and frequency by value band.,"Select a sample of counts; inspect count sheets, reconciliation to system quantities and investigation of differences. Observe a count where possible.",Cycle count records,25 counts
INV-04,All industries,Inventory & Costing,Physical Count,R-INV-04,"Count differences are adjusted into the ledger without investigation or authorisation, concealing loss or theft.",High,Ensure inventory adjustments arising from counts are investigated and authorised.,"Count differences above threshold are investigated and documented. All inventory adjustments require approval by the Operations Director, and adjustments above a higher threshold require Financial Controller approval.",Preventive,IT-Dependent Manual,Event Driven,"E/O, A/V",Control Activities,Yes,Yes,Operations Director,Warehouse personnel cannot approve adjustments to inventory they hold custody of.,Reconcile adjustment approval thresholds to the delegation of authority.,Select a sample of inventory adjustments; inspect investigation documentation and approval at the appropriate level.,Inventory adjustment log,25 adjustments
INV-05,All industries,Inventory & Costing,Valuation,R-INV-05,"Slow-moving, obsolete or damaged inventory is not provided against, overstating inventory.",High,Ensure the inventory provision reflects slow-moving and obsolete stock.,"The Cost Accountant prepares the excess and obsolete provision quarterly using the approved ageing and usage-based matrix, supplemented by specific assessment from Operations. The Financial Controller reviews and approves the provision.",Detective,Manual,Quarterly,A/V,Control Activities,Yes,No,Financial Controller,Operations input is documented but does not override the policy matrix without approval.,"Inspect the provisioning policy, ageing bands and provision percentages.","For each quarter, re-perform the calculation and inspect support for specific provisions and for any deviation from the matrix.",Quarterly E&O provision calculations,All quarters in period
INV-06,All industries,Inventory & Costing,Valuation,R-INV-06,"Inventory is carried above net realisable value, overstating assets.",Medium,Ensure inventory is stated at the lower of cost and net realisable value.,"At each period end the Cost Accountant compares carrying cost to expected selling price less costs to sell for significant inventory categories, and records a write-down where required. The Financial Controller reviews the assessment.",Detective,Manual,Quarterly,A/V,Control Activities,Yes,No,Financial Controller,Preparer and reviewer are different individuals.,Inspect the NRV assessment methodology and the basis for expected selling prices.,"For a sample of categories, re-perform the NRV comparison and inspect evidence of review.",NRV assessment workpapers,All quarters in period
INV-07,All industries,Inventory & Costing,Cutoff,R-INV-07,"Inventory movements around period end are recorded in the wrong period, misstating inventory and cost of sales.",High,"Ensure inventory receipts, despatches and transfers are recorded in the correct period.","At each period end the Inventory Control Manager reviews goods received and despatched in the days either side of the cutoff date against supporting documentation to confirm recording in the correct period, including goods in transit.",Detective,Manual,Monthly,"CO, C",Control Activities,Yes,No,Inventory Control Manager,Reviewer independent of warehouse recording.,Inspect the cutoff review procedure and the number of days either side reviewed.,Select a sample of period ends; inspect the cutoff testing performed and any corrections made.,Period-end cutoff workpapers,3 to 5 period ends
INV-08,All industries,Inventory & Costing,Period End,R-INV-08,"The inventory subledger does not agree to the general ledger, indicating unrecorded movements or valuation errors.",High,Ensure the inventory subledger reconciles to the general ledger each period.,"The Cost Accountant reconciles the inventory subledger to the general ledger monthly, explains and clears reconciling items, and the Financial Controller reviews and approves the reconciliation.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer.,Inspect the reconciliation template and the threshold for investigating items.,Select a sample of monthly reconciliations; verify accuracy and evidence of timely review.,Monthly inventory reconciliations,3 to 5 month ends
INV-09,All industries,Inventory & Costing,Third Party Stock,R-INV-09,"Inventory held by or for third parties is omitted or double counted, misstating inventory and rights to it.",Medium,Ensure consignment and third-party held inventory is accounted for correctly.,"The Inventory Control Manager maintains a register of inventory held at third-party locations and inventory held on consignment for others, agreed quarterly to third-party statements or confirmations.",Detective,Manual,Quarterly,"E/O, C, R&O",Control Activities,No,No,Inventory Control Manager,Register maintained independently of the warehouse holding the stock.,Inspect the register and the confirmation process with third parties.,"For each quarter, inspect the agreement of the register to third-party confirmations and resolution of differences.",Third-party inventory register and confirmations,All quarters in period
PAY-01,All industries,Payroll,Employee Master,R-PAY-01,"Fictitious employees are added to payroll, or pay rates and bank details are altered without authorisation.",High,Ensure employee master additions and changes are authorised and supported.,New hires and changes to pay rate or bank details are entered from an approved HR instruction and independently verified against the personnel file before the next payroll run. Changes are evidenced on the payroll change report.,Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,HR Director,Payroll processors cannot amend employee master data; HR cannot process payment runs.,Inspect the starter and change procedure and the interface between HR and payroll systems.,Select a sample of new hires and pay rate and bank detail changes; inspect the approved instruction and evidence of verification.,Payroll change report; personnel files,25 changes
PAY-02,All industries,Payroll,Employee Master,R-PAY-02,"Leavers remain on payroll after termination, resulting in payments to individuals no longer employed.",High,Ensure terminations are processed on payroll promptly and completely.,HR notifies payroll of all terminations through the workflow. The Payroll Manager reconciles the leaver report to payroll deletions each cycle and investigates any employee paid after their termination date.,Detective,IT-Dependent Manual,Monthly,E/O,Control Activities,Yes,Yes,Payroll Manager,Reviewer independent of employee master maintenance.,Inspect the termination workflow and the leaver reconciliation template.,Select a sample of payroll cycles; reconcile the HR leaver report to payroll deletions and inspect investigation of any post-termination payments.,HR leaver reports; payroll registers,25 cycles or all if fewer
PAY-03,All industries,Payroll,Time & Attendance,R-PAY-03,"Employees are paid for hours not worked, or overtime is claimed without authorisation.",Medium,Ensure hours and overtime are approved before being paid.,Timesheets and overtime are approved electronically by the employee's line manager before transfer to payroll. Unapproved time is not paid and is reported as an exception.,Preventive,Automated,Per Transaction,"A/V, E/O",Control Activities,Yes,Yes,Operations Director,Employees cannot approve their own time; approver must be the designated line manager.,Inspect the time system configuration confirming approval is required before transfer to payroll.,Select a sample of pay periods; inspect the approval status of time transferred and the exception report of unapproved time.,Time and attendance system records,25 employee-periods
PAY-04,All industries,Payroll,Payroll Processing,R-PAY-04,Errors or unauthorised amendments in the payroll run result in incorrect payments and misstated payroll expense.,High,Ensure the payroll run is reviewed and authorised before disbursement.,"Before disbursement the Payroll Manager reviews the payroll register against the prior period, investigating variances above threshold and all exception items. The Financial Controller approves the total payroll for release.",Detective,IT-Dependent Manual,Monthly,"A/V, C, E/O",Control Activities,Yes,Yes,Financial Controller,Preparer of the payroll run does not approve it or release payment.,"Inspect the review template, the variance threshold and the approval requirement before release.","Select a sample of payroll runs; inspect the variance analysis, investigation of exceptions and approval prior to disbursement.",Monthly payroll registers and review files,25 runs or all if fewer
PAY-05,All industries,Payroll,Disbursement,R-PAY-05,"The payroll payment file is altered or released without authorisation, enabling diversion of funds.",High,Ensure payroll disbursements are authorised and transmitted intact.,"The payroll payment file is released to the bank under dual authorisation by nominated signatories, with control totals agreed to the approved payroll register before transmission.",Preventive,IT-Dependent Manual,Monthly,"E/O, A/V",Control Activities,Yes,Yes,Treasury Manager,Payroll processors do not hold bank release entitlements.,Inspect the bank mandate and the dual authorisation configuration for payroll files.,Select a sample of payroll disbursements; inspect agreement of control totals to the approved register and evidence of dual authorisation.,Payroll payment files and bank authorisations,25 disbursements
PAY-06,All industries,Payroll,Off-Cycle Payments,R-PAY-06,"Manual or off-cycle payments are made outside the normal controls, concealing unauthorised payments.",Medium,Ensure off-cycle and manual payroll payments are justified and approved.,"All off-cycle payments require documented justification and approval by the HR Director and Financial Controller before processing, and are reported in the monthly payroll review.",Preventive,Manual,Event Driven,"E/O, A/V",Control Activities,Yes,Yes,Financial Controller,Requestor cannot approve; two approvers required.,Inspect the off-cycle payment procedure and approval requirements.,Inspect the full population of off-cycle payments for the period for justification and dual approval.,Off-cycle payment log,Full population
PAY-07,All industries,Payroll,Statutory,R-PAY-07,"Statutory deductions are calculated incorrectly or remitted late, resulting in liabilities, interest and penalties.",Medium,Ensure statutory deductions are accurate and remitted by the due date.,The Payroll Manager reconciles statutory deductions per the payroll register to amounts remitted each period and confirms remittance by the statutory deadline. Differences are investigated and cleared.,Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Payroll Manager,Preparer of the remittance is not the sole reviewer of the reconciliation.,Inspect the reconciliation template and the calendar of statutory deadlines.,Select a sample of periods; re-perform the reconciliation and inspect evidence of timely remittance.,Statutory remittance reconciliations,3 to 5 periods
PAY-08,All industries,Payroll,Incentives,R-PAY-08,"Bonus and incentive payments are calculated incorrectly or paid without authorisation, misstating payroll expense.",Medium,Ensure incentive payments are calculated in accordance with approved schemes and authorised.,"Incentive calculations are prepared from the approved scheme rules and achieved performance data, independently reviewed for accuracy, and approved by the HR Director. Executive incentives are approved by the Remuneration Committee.",Preventive,Manual,Annual,"A/V, C",Control Activities,Yes,Yes,HR Director,Recipients do not calculate or approve their own incentive; executive awards escalate to the committee.,"Inspect the scheme rules and the approval matrix, including the escalation for executive awards.",Re-perform a sample of incentive calculations against scheme rules and performance data; inspect approval at the required level.,Incentive calculation files,25 calculations
PAY-09,All industries,Payroll,Period End,R-PAY-09,Payroll costs and related liabilities are not completely recorded in the general ledger.,High,Ensure payroll postings reconcile to the general ledger each period.,"The Financial Accountant reconciles the payroll register to payroll expense and liability accounts in the general ledger monthly. Reconciling items are explained and cleared, and the Financial Controller reviews the reconciliation.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer and of payroll processing.,Inspect the reconciliation template and the accounts covered.,Select a sample of monthly reconciliations; verify accuracy and evidence of review.,Monthly payroll reconciliations,3 to 5 month ends
PAY-10,All industries,Payroll,Access & SoD,R-PAY-10,"A single individual can add an employee, process the payroll and release the payment, enabling payments to fictitious employees.",High,Ensure incompatible payroll duties are segregated.,"System access is configured so that no individual holds employee master maintenance, payroll processing and payment release entitlements. Conflicts are blocked at role assignment and reviewed periodically.",Preventive,Automated,Per Transaction,E/O,Control Activities,Yes,Yes,IT Security / HR Systems Administrator,This control is the segregation mechanism; exceptions require documented mitigating controls.,Inspect the access ruleset and confirm the conflict set is defined and blocking.,Inspect the role conflict report for the period and evaluate any exceptions and mitigating controls.,Payroll and HR system access reports,Full population plus all exceptions
FA-01,All industries,Fixed Assets,Capital Expenditure,R-FA-01,"Capital expenditure is incurred without authorisation, resulting in unapproved commitments and asset additions.",Medium,Ensure capital expenditure is authorised in line with the delegation of authority.,"Capital expenditure requests are supported by a business case and approved per the capital authority matrix, with amounts above threshold requiring Board approval, before commitment is made.",Preventive,Manual,Event Driven,"E/O, R&O",Control Activities,Yes,No,Chief Financial Officer,Requestor cannot approve; Board approval required above threshold.,Reconcile the capital authority matrix to the delegation of authority and to Board minutes.,Select a sample of capital projects; inspect the business case and approval at the required level prior to commitment.,Capital expenditure request files,25 projects
FA-02,All industries,Fixed Assets,Capitalisation,R-FA-02,"Costs are capitalised that should be expensed, or vice versa, misstating assets and results.",High,Ensure costs are capitalised only where they meet the capitalisation policy.,"The Fixed Asset Accountant assesses each addition against the capitalisation policy, including the capitalisation threshold and the treatment of directly attributable costs. The Financial Controller reviews additions above threshold.",Preventive,Manual,Monthly,"A/V, E/O",Control Activities,Yes,No,Financial Controller,Preparer and reviewer are different individuals.,Inspect the capitalisation policy and the review threshold.,Select a sample of additions; inspect the assessment against policy and evidence of review where above threshold.,Fixed asset addition files,25 additions
FA-03,All industries,Fixed Assets,Disposals,R-FA-03,"Asset disposals are not recorded, or proceeds are misappropriated, overstating assets and understating gains.",Medium,"Ensure disposals are authorised, recorded and proceeds accounted for.",Disposals require approval per the delegation of authority. The Fixed Asset Accountant removes the asset and accumulated depreciation on disposal and agrees proceeds to the bank. Disposals are reported monthly.,Preventive,IT-Dependent Manual,Event Driven,"E/O, A/V, C",Control Activities,Yes,Yes,Financial Controller,Custodian of the asset cannot approve its disposal or receive the proceeds.,Inspect the disposal procedure and approval thresholds.,"Select a sample of disposals; inspect approval, removal from the register, and agreement of proceeds to bank.",Disposal register; bank statements,25 disposals
FA-04,All industries,Fixed Assets,Depreciation,R-FA-04,"Depreciation is calculated incorrectly or on inappropriate lives, misstating carrying value and expense.",Medium,Ensure depreciation is calculated in accordance with policy and reviewed for reasonableness.,"Depreciation is calculated automatically by the fixed asset system from the asset class, life and in-service date. The Fixed Asset Accountant reviews the monthly depreciation charge for reasonableness against expectation and investigates variances.",Detective,IT-Dependent Manual,Monthly,A/V,Control Activities,Yes,No,Fixed Asset Accountant,Asset class and life defaults cannot be amended by the preparer without approval.,Inspect the depreciation configuration by asset class and the review template.,Re-perform depreciation for a sample of assets; inspect the monthly reasonableness review and investigation of variances.,Fixed asset register; depreciation reports,25 assets and 3 to 5 months
FA-05,All industries,Fixed Assets,Useful Lives,R-FA-05,"Useful lives and residual values are not reassessed, so carrying values do not reflect the pattern of consumption.",Low,Ensure useful lives and residual values are reviewed at least annually.,"The Fixed Asset Accountant reviews useful lives and residual values annually against usage and asset condition, and the Financial Controller approves any changes and their prospective application.",Detective,Manual,Annual,A/V,Control Activities,No,No,Financial Controller,Preparer and approver are different individuals.,Inspect the review procedure and the basis for assessing lives.,"Inspect the annual review performed in the period, changes made and evidence of approval.",Annual useful life review file,Annual review
FA-06,All industries,Fixed Assets,Existence,R-FA-06,"Assets recorded in the register no longer exist or are not in use, overstating assets.",Medium,Ensure recorded assets are validated by physical verification.,A rolling programme of physical verification covers all asset locations over a defined cycle. Results are reconciled to the fixed asset register and differences are investigated and adjusted with approval.,Detective,Manual,Annual,E/O,Control Activities,Yes,Yes,Fixed Asset Accountant,Verifier independent of the custodian of the assets.,Inspect the verification programme and its coverage cycle.,"Inspect verification records for the period, reconciliation to the register, and approval of adjustments.",Physical verification records,All verifications in period
FA-07,All industries,Fixed Assets,Construction in Progress,R-FA-07,"Assets remain in construction in progress after being brought into use, deferring depreciation and overstating results.",Medium,Ensure assets are transferred from CIP to in-service on commissioning.,"The Fixed Asset Accountant reviews the CIP balance monthly, agrees each project to its status with the project manager, and transfers commissioned assets into service in the month they become available for use.",Detective,Manual,Monthly,"A/V, CO",Control Activities,Yes,No,Fixed Asset Accountant,"Project status confirmed by project management, not by the accountant alone.",Inspect the CIP review procedure and the criteria for available for use.,"Select a sample of month ends; inspect the CIP review, project status confirmations and timeliness of transfers.",Monthly CIP reviews,3 to 5 month ends
FA-08,All industries,Fixed Assets,Impairment,R-FA-08,"Impaired assets are not written down, overstating carrying value.",Medium,Ensure indicators of impairment are identified and assessed.,"At each reporting date the Financial Controller reviews for indicators of impairment across cash generating units, and where indicators exist a recoverable amount assessment is prepared and reviewed by the CFO.",Detective,Manual,Annual,A/V,Control Activities,Yes,No,Chief Financial Officer,Preparer of the assessment is not the approver.,Inspect the impairment review procedure and the indicator checklist.,"Inspect the impairment reviews performed in the period, any recoverable amount calculations, and evidence of approval.",Impairment assessment files,All assessments in period
FA-09,All industries,Fixed Assets,Period End,R-FA-09,"The fixed asset register does not agree to the general ledger, indicating unrecorded additions, disposals or depreciation.",High,Ensure the fixed asset register reconciles to the general ledger each period.,"The Fixed Asset Accountant reconciles the register to the general ledger monthly for cost, accumulated depreciation and net book value. Reconciling items are cleared and the Financial Controller reviews the reconciliation.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer.,Inspect the reconciliation template and the balances covered.,Select a sample of monthly reconciliations; verify accuracy and evidence of review.,Monthly fixed asset reconciliations,3 to 5 month ends
TRE-01,All industries,Treasury,Bank Administration,R-TRE-01,"Bank accounts are opened or closed, or signatories changed, without authorisation, enabling unauthorised movement of funds.",High,Ensure bank account and mandate changes are authorised at the required level.,"Opening and closing of bank accounts and all changes to bank mandates and signatories require approval by the CFO and, where required by the delegation of authority, by the Board. Changes are confirmed directly with the bank.",Preventive,Manual,Event Driven,"E/O, R&O",Control Activities,Yes,Yes,Chief Financial Officer,Requestor cannot approve; confirmation obtained independently from the bank.,Inspect the treasury policy and reconcile mandate authority to the delegation of authority and Board minutes.,Inspect the full population of account and mandate changes in the period for approval and bank confirmation.,Bank mandate files; bank confirmations,Full population
TRE-02,All industries,Treasury,Bank Reconciliation,R-TRE-02,"Differences between bank records and the ledger are not identified, concealing unrecorded or fraudulent transactions.",High,Ensure all bank accounts are reconciled and differences resolved promptly.,"All bank accounts are reconciled monthly by the Treasury Accountant to the bank statement. Reconciling items are aged, explained and cleared, and items above threshold or over 30 days are escalated. The Financial Controller reviews and approves each reconciliation.",Detective,IT-Dependent Manual,Monthly,"E/O, C, A/V",Control Activities,Yes,Yes,Financial Controller,Preparer of the reconciliation does not process payments or have bank release entitlement.,"Inspect the reconciliation template, ageing thresholds and escalation criteria.","Select a sample of account-months; verify mathematical accuracy, agreement to bank statements obtained independently, ageing and clearance of items, and timely review.",Monthly bank reconciliations; bank statements,25 account-months
TRE-03,All industries,Treasury,Cash Management,R-TRE-03,"Liquidity is misjudged, resulting in an inability to meet obligations or in unnecessary borrowing cost.",Low,Ensure cash forecasts are prepared and reviewed to support liquidity management.,"The Treasury Manager prepares a rolling cash forecast weekly, compares actual to forecast, and reports variances and liquidity headroom to the CFO monthly.",Detective,Manual,Weekly,P&D,Monitoring Activities,No,No,Treasury Manager,Forecast reviewed by CFO independent of preparation.,Inspect the forecasting methodology and the reporting cycle.,Select a sample of forecasts; inspect the actual to forecast comparison and evidence of CFO review.,Weekly cash forecasts,25 weeks
