Reference,Industry,Process,Sub-process,Risk,Why this matters,Risk rating,Risk category,Audit objective,What to review,Procedures,Red flags,Evidence to request,Measures
IA-INV-06,All industries,Inventory & Costing,"Consignment, Third-Party and In-Transit Stock","Stock held by others or in transit is recorded on the wrong balance sheet, or lost entirely because nobody is counting it.","Stock held elsewhere, or in transit, is easy to count twice or not at all.",Medium,Financial,Confirm that inventory ownership and location are correctly reflected wherever the stock physically sits.,"1. Identification of stock held at third parties and by agents
2. Consignment agreements and ownership terms
3. Confirmation and counting of externally held stock
4. Goods in transit and the shipping terms that determine ownership
5. Customer-owned stock held on the premises","1. Obtain confirmations from third parties holding stock and reconcile to the ledger.
2. Test consignment agreements to determine when ownership and risk transfer, and confirm accounting follows.
3. Test goods in transit at period end against shipping terms.
4. Identify customer-owned material on site and confirm it is excluded from inventory.","1. Third-party stock never counted or confirmed
2. Consignment treated as sold on despatch
3. In-transit stock recorded by both parties or neither
4. Customer material indistinguishable from own stock","1. Third-party stock confirmations
2. Consignment agreements
3. Shipping documentation
4. Inventory listings by location","1. Externally held stock confirmed
2. In-transit cut-off errors
3. Locations reconciled"
IA-INV-07,All industries,Inventory & Costing,"Scrap, Returns and Reverse Logistics","Scrap and returned goods are removed from the system without control, providing a route for stock to leave the business.",Scrap and returns are a legitimate-looking route for stock to leave the building.,Medium,Fraud,"Confirm scrap and returns are authorised, evidenced and any residual value captured.","1. Scrap authorisation, witnessing and disposal evidence
2. Proceeds from scrap sales and where they are recorded
3. Customer returns receipt, inspection and disposition
4. Restocking accuracy and valuation of returned goods
5. Warranty and repair stock movements","1. Test scrap transactions for authorisation and independent witnessing of destruction or disposal.
2. Trace scrap sale proceeds to bank receipts and the ledger.
3. Test returned goods from receipt through inspection to restock, repair or scrap, and check valuation at each step.
4. Analyse return volumes by customer and product for patterns.","1. Scrap disposed of without witness
2. Scrap sale proceeds received in cash
3. Returns restocked at full value without inspection
4. Return rates far above normal for one customer","1. Scrap authorisation and disposal records
2. Scrap sale invoices and bank receipts
3. Returns processing records
4. Restock valuations","1. Scrap value and proceeds
2. Returns restocked without inspection
3. Return rate by customer"
IA-IT-01,All industries,IT & Technology,Change Management,"Changes reach production without testing or approval, causing outages, data corruption or the quiet introduction of unauthorised functionality.","Most major system outages are caused by a change someone made, not by an attacker.",High,IT,"Confirm that changes to production systems are authorised, tested and traceable.","1. Change approval, testing evidence and back-out planning
2. Emergency change usage and retrospective approval
3. Segregation between development, testing and production migration
4. Direct data fixes applied to production databases
5. Post-implementation review of significant changes","1. Reconcile changes deployed to production against approved change records; investigate any deployment with no change ticket.
2. Quantify emergency changes as a proportion of total and test retrospective approval.
3. Test whether developers can migrate their own code to production.
4. Extract direct database changes and test authorisation for each.
5. Test back-out plans for substance rather than a generic statement.","1. Emergency changes used to bypass approval routinely
2. Deployments with no corresponding ticket
3. Developers holding production migration rights
4. Testing evidence created after go-live","1. Change management records
2. Deployment logs
3. Database change logs
4. Developer access rights","1. Emergency change %
2. Unauthorised deployments
3. Change failure rate"
IA-IT-02,All industries,IT & Technology,IT Operations and Job Scheduling,"Batch failures, interface errors and processing exceptions go unnoticed, so financial data is incomplete or wrong without anyone knowing.","Overnight processing runs the business. When a job fails silently, the numbers are simply incomplete.",Medium,IT,Confirm that scheduled processing and system interfaces run completely and that failures are detected and resolved.,"1. Job scheduling, dependencies and failure alerting
2. Interface control totals between systems
3. Incident detection, prioritisation and resolution
4. Reprocessing and manual intervention controls
5. Monitoring coverage and who watches it out of hours","1. Review job failure logs for the period and test resolution of failures affecting financial data.
2. Test interface control totals between key systems and quantify unexplained differences.
3. Sample incidents and trace to root cause and permanent fix rather than a workaround.
4. Test who can amend the job schedule and whether changes follow change management.","1. Recurring job failures accepted as normal
2. Interfaces reconciled by record count only, not value
3. Incidents closed as ""restarted, no further action""
4. Schedule amendments made directly in production","1. Job scheduler logs
2. Interface reconciliation reports
3. Incident management records
4. Monitoring configuration","1. Job failure rate
2. Interface differences
3. Repeat incidents"
IA-IT-03,All industries,IT & Technology,Cyber Security — Vulnerability and Patch Management,"Known vulnerabilities remain unpatched on systems exposed to attack, giving an intruder a documented route in.",Attackers use known weaknesses that already have fixes available. Unpatched systems are an open door.,High,IT,"Assess whether vulnerabilities are identified, prioritised and remediated within defined timeframes.","1. Asset inventory completeness — you cannot patch what you do not know about
2. Vulnerability scanning coverage and frequency
3. Remediation timeframes by severity and adherence to them
4. Exception and risk acceptance process for unpatched systems
5. End-of-life and unsupported systems still in use","1. Compare the asset inventory to network discovery output and quantify unmanaged devices.
2. Extract open vulnerabilities by severity and age; quantify those beyond the remediation deadline.
3. Test the exception process for critical vulnerabilities accepted rather than fixed, and whether acceptance was authorised at the right level.
4. Identify end-of-life systems still in production and test the compensating controls claimed.","1. Critical vulnerabilities open for months
2. Scanning that excludes the most sensitive network segments
3. Risk acceptances granted indefinitely
4. Unsupported operating systems on internet-facing hosts","1. Asset inventory and network discovery output
2. Vulnerability scan results
3. Remediation and exception records
4. End-of-life system register","1. Critical vulnerabilities past SLA
2. Scan coverage %
3. Unsupported systems in production"
IA-IT-04,All industries,IT & Technology,"Cyber Security — Perimeter, Endpoint and Email","An attacker gains entry through phishing, weak authentication or an unprotected endpoint, and moves through the network undetected.","Most breaches start with a person clicking something or a password being reused, not with sophisticated hacking.",High,IT,Assess the preventive and detective controls against the most common intrusion routes.,"1. Multi-factor authentication coverage, especially remote access and administrators
2. Email filtering, phishing simulation results and reporting culture
3. Endpoint protection deployment and exception devices
4. Network segmentation limiting lateral movement
5. Logging, monitoring and alert triage","1. Test multi-factor authentication coverage across all remote access paths and privileged accounts; identify bypass routes.
2. Review phishing simulation results by department and test whether repeat clickers receive intervention.
3. Reconcile endpoint protection deployment to the asset inventory and investigate unprotected devices.
4. Test segmentation by reviewing firewall rules between zones for overly permissive entries.
5. Sample security alerts and test triage quality and time to respond.","1. Service and administrator accounts exempt from multi-factor authentication
2. Firewall rules permitting any-to-any
3. Alerts closed without investigation notes
4. Phishing reporting rates near zero","1. Authentication configuration
2. Phishing simulation results
3. Endpoint deployment reports
4. Firewall rule sets
5. Security alert logs","1. MFA coverage %
2. Phishing click and report rates
3. Alert triage time"
IA-IT-05,All industries,IT & Technology,"Backup, Recovery and Disaster Recovery","Backups exist but cannot actually restore the business, so a ransomware event or hardware failure becomes an existential problem.",Having backups is not the same as being able to restore. You find out which you have on the worst day.,High,IT,"Confirm that backup and recovery capability is real, tested and protected from the same event it insures against.","1. Backup scope, frequency and alignment to recovery point objectives
2. Restoration testing — actual restores, not backup success reports
3. Immutability and offline copies protected from ransomware
4. Disaster recovery plan currency and test realism
5. Recovery time objectives agreed with the business and validated","1. Obtain evidence of an actual restore test and its outcome; a successful backup job is not evidence of recoverability.
2. Test whether backup copies are immutable or offline and whether backup infrastructure uses separate credentials.
3. Compare recovery objectives agreed with the business to what the most recent test achieved.
4. Review the disaster recovery test scope — a tabletop exercise is not a failover.","1. Backups never restored in test
2. Backup systems on the same domain with the same admin credentials
3. Recovery objectives defined by IT with no business input
4. DR tests scoped to exclude the critical systems","1. Backup job reports and restore test evidence
2. Backup architecture documentation
3. DR plans and test reports
4. Business impact analysis","1. Restore tests completed
2. Actual vs. target recovery time
3. Systems with immutable backups"
IA-IT-06,All industries,IT & Technology,Third-Party and Cloud Service Management,Critical systems run on third-party platforms with no assurance over their controls and no ability to exit.,"Using a cloud provider moves the work, not the accountability. If it goes down, your business goes down.",High,IT,Assess governance and assurance over outsourced and cloud-hosted technology.,"1. Inventory of cloud services and shadow IT procured outside the process
2. Service auditor reports obtained and complementary user controls performed
3. Contractual terms — data location, breach notification, audit rights, exit
4. Cloud configuration and who is responsible for what
5. Vendor access to the organisation's environment","1. Build an independent inventory of cloud services from expenditure and network data; compare to the official register.
2. Obtain service auditor reports for critical providers, identify complementary user controls and test whether they operate.
3. Review cloud configuration against a recognised benchmark for the most sensitive workloads.
4. Test vendor remote access — accounts, authentication and session monitoring.","1. Cloud services paid for on expense claims
2. Service auditor reports unread
3. Storage buckets or databases publicly accessible
4. Vendor accounts with standing privileged access","1. Expenditure and network data
2. Cloud service register
3. Service auditor reports
4. Configuration benchmark results
5. Vendor access records","1. Shadow IT services found
2. Complementary controls performed
3. Configuration benchmark failures"
IA-IT-07,All industries,IT & Technology,"Data Governance, Quality and Privacy","Personal and business-critical data is held without ownership, retained beyond need, or exposed to people who have no reason to see it.","Data that nobody owns gets kept too long, shared too widely, and eventually leaked.",High,Compliance,"Assess whether data is classified, owned, protected and retained in line with obligations.","1. Data inventory, classification and ownership
2. Retention schedules and their actual enforcement
3. Access to sensitive data sets and periodic review
4. Data quality controls at entry and in transformation
5. Privacy obligations — consent, subject rights, cross-border transfer","1. Test whether data classified as sensitive is actually protected accordingly, including in test environments and extracts.
2. Test retention by identifying data past its retention period and confirming whether deletion occurred.
3. Test data subject rights requests for completeness and timeliness of response.
4. Review data quality controls for key financial data feeds and quantify error rates.
5. Test whether production data is copied into non-production environments unmasked.","1. Production data in test systems unmasked
2. Retention policy written but never executed
3. No named owner for critical data sets
4. Cross-border transfers with no assessed legal basis","1. Data inventory and classification
2. Retention schedules and deletion evidence
3. Access listings for sensitive data
4. Subject rights request records","1. Data past retention
2. Subject requests in time
3. Unmasked non-production copies"
IA-IT-08,All industries,IT & Technology,IT Asset Management and Software Licensing,"Hardware and software are untracked, so assets are lost, licences are under-purchased and the organisation is exposed to audit by the vendor.","Untracked laptops walk out of the door, and unlicensed software invites an expensive audit from the vendor.",Medium,Operational,"Confirm that technology assets and licences are tracked, reconciled and compliant.","1. Hardware asset register accuracy and disposal process
2. Data sanitisation on disposal or return of devices
3. Software discovery versus licences held
4. Licence terms — users, cores, virtualisation rights
5. Vendor audit history and settlements","1. Reconcile the asset register to network discovery and to procurement records; investigate differences in both directions.
2. Test disposal records for evidence of data sanitisation certificates.
3. Compare installed software counts to licence entitlements and quantify the compliance gap.
4. Review licence terms for the largest vendors against the deployment model actually used.","1. Devices issued to leavers never returned
2. Disposal with no sanitisation evidence
3. Software deployed well beyond entitlement
4. Virtualisation increasing licence exposure unnoticed","1. Asset register and discovery data
2. Disposal and sanitisation records
3. Software deployment reports
4. Licence agreements","1. Assets unaccounted for
2. Licence compliance gap
3. Disposals with sanitisation evidence"
IA-IT-09,All industries,IT & Technology,IT Project and Programme Delivery,"Major technology programmes overrun, deliver less than promised, or go live without controls, and the business case is never revisited.","Large technology projects fail slowly and quietly, and status reports stay green until the day they do not.",Medium,Strategic,"Assess whether technology investment is governed, controlled and delivering the promised benefit.","1. Business case approval, benefit definition and post-implementation review
2. Governance structure, reporting accuracy and escalation
3. Scope, schedule and cost control including change requests
4. Controls designed into new systems before go-live
5. Data migration accuracy and reconciliation","1. Compare reported project status to underlying evidence — status reporting is frequently optimistic until it is not.
2. Test change requests for approval and their cumulative effect on cost and scope against the original approval.
3. Test whether internal audit or a controls function reviewed the design before go-live.
4. For completed migrations, test the reconciliation between source and target data.
5. Compare realised benefits to the business case for completed projects.","1. Status reported green until it turns red without an amber stage
2. Benefits never measured after go-live
3. Controls deferred to a later phase that never arrives
4. Migration reconciliations performed on counts, not values","1. Business cases and approvals
2. Project status reports and steering minutes
3. Change request logs
4. Migration reconciliations
5. Post-implementation reviews","1. Cost and schedule variance
2. Projects with post-implementation review
3. Benefits realised vs. case"
IA-IT-10,All industries,IT & Technology,End User Computing and Spreadsheets,"Material financial reporting depends on spreadsheets and databases built outside IT, with no version control, no testing and no backup.",A surprising amount of financial reporting depends on a spreadsheet on one person's drive with no version control.,Medium,IT,Assess whether critical end user computing applications are identified and controlled proportionately.,"1. Inventory of critical spreadsheets and user-built databases
2. Access restriction and version control
3. Formula integrity, input validation and change testing
4. Reliance placed on them in financial reporting
5. Backup and key person dependency","1. Identify spreadsheets feeding the financial statements or key controls and test whether they appear in any inventory.
2. Test formula integrity on a sample — check for hard-coded values overwriting formulas and broken ranges.
3. Test whether access is restricted and whether changes are tracked.
4. Assess key person dependency — whether anyone else can operate or explain the model.","1. Critical models on a personal drive
2. Hard-coded plugs inside formula columns
3. No one but the author understands the calculation
4. Versions distinguished only by filename suffix","1. End user computing inventory
2. The spreadsheets themselves
3. Access permissions
4. Financial reporting process documentation","1. Critical EUCs inventoried
2. Formula integrity exceptions
3. EUCs with restricted access"
IA-IT-11,All industries,IT & Technology,"IT Governance, Strategy and Resilience","Technology decisions are made without alignment to business need or risk appetite, leaving critical dependencies and obsolescence unmanaged.",Old systems that nobody wants to touch keep running until the day they cannot be fixed any more.,Medium,Strategic,"Assess whether technology is governed, funded and resourced against the organisation's actual dependency on it.","1. IT strategy and its alignment to business plans
2. Technology risk reporting to the board and its quality
3. Technical debt and obsolescence in critical systems
4. Resourcing, key person dependency and succession
5. Business continuity for technology-dependent processes","1. Compare the technology risk reported to the board against what the audit found operationally.
2. Identify critical systems past supported life and test the remediation plan and its funding.
3. Assess key person dependencies for critical platforms and whether documentation would allow another person to operate them.
4. Test whether business continuity plans for technology-dependent processes have been exercised.","1. Board reporting consistently green while incidents continue
2. Remediation plans without budget attached
3. One person holding all knowledge of a critical platform
4. Continuity plans that assume systems will be available","1. IT strategy and board papers
2. Application portfolio with support status
3. Resourcing and succession plans
4. Continuity plans and test records","1. Critical systems out of support
2. Risks reported vs. found
3. Continuity plans exercised"
IA-O2C-01,All industries,Order to Cash,Customer Master Data,"Fictitious or duplicate customers are created, or bank and address details are altered, enabling diverted refunds and concealed related-party sales.",Fake or duplicated customer records are how fictitious sales and diverted refunds are set up.,High,Fraud,"Confirm customer master records are created and amended only on authorised, verified information.","1. Authorisation and verification of customer creation and amendment
2. Duplicate customer detection
3. Changes to remittance and refund bank details
4. Related-party and employee matching
5. Dormant customer reactivation","1. Extract the customer master change log and test creations and amendments for authorisation independent of sales.
2. Run duplicate analytics on name, tax identifier, address and bank account.
3. Match customer records against employee data for shared addresses, phones and bank accounts.
4. Test refunds paid to bank details changed shortly before the refund.
5. Identify dormant customers reactivated in the period and test the first transaction on each.","1. Customers created by the salesperson who then sells to them
2. Refund bank details differing from the collection account
3. Duplicates that split a single exposure below credit limits
4. Reactivated dormant accounts with immediate credit balances","1. Customer master change log
2. Sales and refund transaction data
3. Employee master data
4. Credit files","1. Master changes with authorisation
2. Duplicate customer exceptions
3. Refunds to changed bank details"
IA-O2C-02,All industries,Order to Cash,Credit Assessment and Limits,"Credit is granted without adequate assessment, or limits are set and raised to accommodate a sale rather than to reflect the customer's ability to pay.","Giving credit to someone who cannot pay is a decision to lose money, taken one order at a time.",High,Financial,"Assess whether credit decisions are evidence-based, independent of sales, and enforced.","1. Credit assessment methodology and information sources
2. Limit approval authority and independence from sales
3. Frequency of limit review, especially for the largest exposures
4. System enforcement of limits at order entry
5. Credit insurance, guarantees and security held","1. Test a sample of new limits to the supporting assessment and the approval authority.
2. Analyse limit increases and test how many occurred within days of a blocked order.
3. Compare exposures to limits at several dates and quantify over-limit balances.
4. Test whether security, guarantees or credit insurance recorded are valid and enforceable.
5. Test limits not reviewed within the policy cycle for the largest customers.","1. Limits raised immediately after an order block
2. Assessments based only on customer-supplied figures
3. Security recorded but never perfected
4. Limits unreviewed for years on major accounts","1. Credit files and assessments
2. Limit master data and change log
3. Aged receivables
4. Credit insurance policies and guarantees","1. Exposure over limit
2. Limits raised post-block
3. Limits reviewed on cycle"
IA-O2C-03,All industries,Order to Cash,Order Entry and Acceptance,"Orders are accepted that the organisation cannot fulfil, should not accept, or that carry terms never approved.",Accepting an order commits the business to terms it may not be able to meet.,Medium,Operational,Confirm orders are accepted within approved commercial and credit parameters.,"1. Order entry authorisation and completeness of order data
2. Blocked-order release and who performs it
3. Non-standard terms — payment terms, delivery, penalties, retention
4. Availability and fulfilment feasibility checks
5. Order acknowledgement and contract formation","1. Test blocked orders released in the period and inspect the approval for each.
2. Sample orders with non-standard terms and trace the approval against delegated authority.
3. Reconcile orders entered to orders acknowledged and fulfilled; investigate orders cancelled after entry.
4. Test whether penalty and service-credit clauses accepted at order stage are tracked operationally.","1. Blocks released by sales staff
2. Non-standard terms agreed by email without approval
3. Orders entered then cancelled repeatedly at period end
4. Penalty clauses accepted with no one monitoring performance","1. Order entry system data
2. Blocked-order release logs
3. Customer contracts and terms
4. Order acknowledgements","1. Blocked orders released
2. Orders with non-standard terms
3. Order cancellation rate"
IA-O2C-04,All industries,Order to Cash,"Pricing, Discounts and Rebates","Prices, discounts and rebates are applied outside approved authority, eroding margin invisibly one transaction at a time.",Discounts and rebates are given away one transaction at a time and rarely reviewed in total.,High,Financial,Confirm invoiced prices reflect approved price lists and that discounts and rebates are authorised and earned.,"1. Price list maintenance and approval
2. Discount authority by role and value
3. Manual price overrides at invoicing
4. Rebate and volume incentive agreements and their accrual
5. Margin analysis by customer, product and salesperson","1. Re-price a sample of invoices from the approved price list and quantify the variance.
2. Analyse manual price overrides by user and customer; test the largest against approval authority.
3. Recompute rebates earned against agreements and test the accrual.
4. Analyse margin by customer and salesperson and investigate the loss-making tail.
5. Test whether price list changes were approved before activation.","1. Discounts clustered just under an approval threshold
2. Overrides concentrated with one user
3. Rebates accrued on volumes never achieved
4. Customers persistently below cost to serve","1. Price lists and change logs
2. Invoice data
3. Discount approvals
4. Rebate agreements and accruals","1. Price variance on re-pricing
2. Override value by user
3. Margin by customer"
IA-O2C-05,All industries,Order to Cash,"Despatch, Delivery and Cut-Off","Goods or services are recorded as delivered when they are not, or delivery is recorded in the wrong period, misstating revenue.","Recording a delivery in the wrong period moves profit between years, which is a classic way to flatter results.",High,Financial,Confirm delivery is evidenced and recorded in the correct period.,"1. Proof of delivery capture and retention
2. Cut-off procedures at period end
3. Goods despatched but not invoiced, and invoiced but not despatched
4. Consignment, bill-and-hold and agency arrangements
5. Delivery to third-party warehouses or agents","1. Test cut-off either side of period end by tracing despatch documents to invoices and to the revenue period recorded.
2. Reconcile despatches to invoices for the period and age the unbilled and un-despatched populations.
3. Test the existence of proof of delivery for a sample of the largest period-end sales.
4. Review bill-and-hold and consignment arrangements against the criteria for recognising revenue.","1. A concentration of large despatches on the final days of the period
2. Proof of delivery missing for the largest transactions
3. Consignment stock treated as sold
4. Delivery dates amended after invoicing","1. Despatch records and proof of delivery
2. Invoice register
3. Period-end cut-off testing schedules
4. Consignment agreements","1. Cut-off errors identified
2. Despatched not invoiced ageing
3. POD completeness"
IA-O2C-06,All industries,Order to Cash,Invoicing Accuracy and Completeness,"Deliveries are never invoiced, or invoices are issued with errors that delay payment and trigger disputes.",Goods delivered but never invoiced is money the business has simply given away.,High,Financial,"Confirm every delivery is invoiced once, accurately, and on time.","1. Completeness of invoicing against delivery
2. Invoice accuracy — quantity, price, tax, currency, customer details
3. Timeliness of invoicing after delivery
4. Sequence control over invoice numbering
5. Manual and pro-forma invoices outside the main system","1. Reconcile delivered volumes to invoiced volumes and quantify the unbilled population and its ageing.
2. Test invoice numerical sequence for gaps and duplicates.
3. Sample invoices and re-perform the calculation including tax treatment and currency.
4. Identify invoices raised outside the main system and test their control and recording.
5. Measure days from delivery to invoice by business unit.","1. Unbilled deliveries ageing beyond the billing cycle
2. Gaps in invoice sequence with no explanation
3. Manual invoices used routinely for particular customers
4. Recurring disputes traced to invoice errors","1. Delivery and invoice data
2. Invoice sequence reports
3. Tax configuration
4. Dispute logs","1. Unbilled deliveries ageing
2. Days delivery to invoice
3. Invoice error rate"
IA-O2C-07,All industries,Order to Cash,"Credit Notes, Returns and Adjustments","Credit notes are issued to conceal uncollectable debt, to reverse fictitious sales, or without any authorisation.",Credit notes reverse sales. They are also the easiest way to hide a debt that was never going to be collected.,High,Fraud,"Confirm credit notes and adjustments are justified, supported and authorised independently.","1. Credit note authorisation limits and independence from sales and collections
2. Reason codes and their integrity
3. Credit notes issued after period end against prior-period sales
4. Returns received and their restocking or scrapping
5. Write-offs disguised as credit notes","1. Analyse credit notes by issuer, customer, value and reason code; test the largest and the most frequent.
2. Test credit notes raised after period end against sales recorded in the prior period.
3. Match credit notes for returns to physical evidence that goods came back.
4. Test whether credit notes are being used in place of a bad debt write-off, which would bypass the write-off authority.","1. Credit notes concentrated shortly after period end
2. Reason code ""other"" dominating
3. Credits issued by the collector chasing the debt
4. No goods returned against return-reason credits","1. Credit note register with user and reason
2. Returns receipts
3. Sales data
4. Write-off approvals","1. Credit notes as % of revenue
2. Credits by issuer
3. Post period-end credits"
IA-O2C-08,All industries,Order to Cash,Cash Application and Unapplied Cash,"Receipts are misapplied or left unapplied, concealing lapping, misappropriation or genuinely overdue balances.",Money received but not matched to an invoice makes the debt look overdue and hides where cash actually went.,High,Fraud,Confirm receipts are applied promptly and accurately to the correct customer and invoice.,"1. Timeliness of cash application and the size of unapplied cash
2. Segregation between cash application, credit control and bank reconciliation
3. Write-off of small differences and unallocated amounts
4. Bank reconciliation quality and reconciling item ageing
5. Lapping indicators across customer accounts","1. Age the unapplied and on-account cash and test the reason for the oldest items.
2. Test that the person applying cash cannot raise credit notes or write off balances.
3. Analyse receipt application timing for patterns consistent with lapping — receipts applied to progressively older invoices.
4. Test bank reconciliations for aged reconciling items and unexplained adjustments.
5. Recompute small-difference write-offs against the tolerance policy.","1. Unapplied cash growing period on period
2. Receipts routinely applied several days late
3. One person handling receipts, application and write-offs
4. Reconciling items carried forward for months","1. Cash application records and unapplied cash ageing
2. Bank statements and reconciliations
3. Write-off approvals
4. Segregation of duties matrix","1. Unapplied cash ageing
2. Days to apply receipts
3. Small write-off value"
IA-O2C-09,All industries,Order to Cash,Collections and Dispute Management,"Overdue balances are not pursued on schedule and disputes are left unresolved, so recoverable amounts become bad debts.","The longer a debt goes unchased, the less of it comes back.",High,Financial,"Assess whether collection activity and dispute resolution are timely, escalated and effective.","1. Dunning and escalation timetable and adherence to it
2. Collector workload, targets and performance
3. Dispute logging, ownership and resolution time
4. Stop-supply and legal escalation decisions
5. Use of external collection agencies and their recovery rates","1. Test whether escalation steps actually occurred at the policy trigger points for a sample of overdue accounts.
2. Analyse ageing and recovery performance by collector and by business unit.
3. Age disputed balances and test the resolution of the oldest; disputes often mask a delivery or invoicing failure.
4. Test whether stop-supply rules were applied or overridden, and by whom.
5. Compare recovery rates before and after referral to external agencies.","1. Promises to pay recorded repeatedly with no follow-through
2. Disputes open beyond ninety days with no owner
3. Stop-supply overridden for the largest debtors
4. Accounts referred to agencies only once they are uncollectable","1. Aged receivables and collector activity notes
2. Dispute register
3. Stop-supply override approvals
4. Agency referral and recovery data","1. Days sales outstanding
2. Disputes over 90 days
3. Recovery rate after referral"
IA-O2C-10,All industries,Order to Cash,Bad Debt Provision and Write-Offs,"The provision for doubtful debts is understated and write-offs are approved without authority, delaying recognition of losses.",Not providing for debts that will never be paid overstates both profit and what the business is owed.,High,Financial,Confirm the provision reflects genuine recoverability and that write-offs are properly authorised.,"1. Provision methodology — ageing based, specific, or expected credit loss
2. Consistency of application and any management overlay
3. Write-off authority and evidence of recovery effort before write-off
4. Recovery of amounts previously written off
5. Balances with no movement or activity","1. Recompute the provision using the stated methodology and test the basis of any management override.
2. Sample write-offs and test the authority level and the recovery steps taken beforehand.
3. Identify aged balances not provided for and test the justification, including reliance on informal assurances.
4. Test subsequent receipts against previously written-off accounts, which can indicate premature write-off or misappropriated recoveries.","1. Aged balances excluded from provision on the basis of a verbal assurance
2. Write-offs approved by the credit manager alone
3. Recoveries after write-off retained outside the ledger
4. Provision percentage unchanged despite a deteriorating book","1. Aged receivables
2. Provision calculations
3. Write-off approvals
4. Post write-off receipt records","1. Provision coverage of aged debt
2. Write-offs by approver
3. Post write-off recoveries"
IA-O2C-11,All industries,Order to Cash,Revenue Recognition Judgements,"Revenue is recognised on terms that do not reflect the contract — before obligations are met, gross where the organisation acts as agent, or without allocating to separate obligations.","When revenue is recognised is a judgement, and judgements around year end get pressure applied to them.",High,Financial,Confirm revenue recognition reflects the substance of customer contracts.,"1. Identification of performance obligations in customer contracts
2. Timing — point in time versus over time
3. Gross versus net presentation where a third party is involved
4. Variable consideration, rebates, penalties and refund rights
5. Side agreements and non-standard terms outside the contract file","1. Read a sample of significant contracts and test whether recognition follows the obligations and terms actually written.
2. Test arrangements involving a third party for principal versus agent indicators and the resulting presentation.
3. Test the estimation of variable consideration and whether constraints were applied.
4. Enquire of sales staff about side letters and verbal commitments, and search correspondence for terms absent from the contract file.
5. Test contracts modified near period end for their effect on recognition.","1. Side letters granting return rights not in the master contract
2. Gross presentation where the organisation carries no inventory risk
3. Long-term contracts recognised on invoicing rather than progress
4. Contract modifications concentrated at period end","1. Customer contracts and amendments
2. Revenue recognition policy and memoranda
3. Sales correspondence
4. Period-end contract modifications","1. Contracts reviewed for obligations
2. Gross vs. net reassessments
3. Side agreements identified"
IA-P2P-01,All industries,Procure to Pay,Vendor Master Data,"Fictitious vendors are created, or bank details on genuine vendors are altered, so payments leave the organisation to accounts controlled by a fraudster.","Set up a fake supplier, or change a real one's bank details, and payments walk straight out of the company.",High,Fraud,"Confirm vendor records are created and amended only on verified, authorised information.","1. Authorisation and independent verification of vendor creation and bank changes
2. Call-back verification to independently obtained contact details
3. Duplicate vendor detection
4. Employee-to-vendor data matching
5. Dormant vendor reactivation and one-time vendor use","1. Extract the vendor master change log and test creations and bank changes for independent verification evidence.
2. Match the vendor master against employee data on bank account, address, tax identifier and phone.
3. Run duplicate analytics across name, bank account and tax identifier; quantify spend flowing through duplicates.
4. Identify vendors reactivated after dormancy and test the first payment following reactivation.
5. Test one-time and manual vendor payments for approval and business justification.","1. Bank change immediately followed by a large payment
2. Vendors sharing a bank account with each other or an employee
3. Vendor created and paid within the same day
4. Verification evidenced by an email from the address that requested the change","1. Vendor master change log with user and timestamp
2. Employee master data
3. Accounts payable spend by vendor
4. Bank verification records","1. Changes with verified call-back
2. Employee-vendor matches
3. Spend through one-time vendors"
IA-P2P-02,All industries,Procure to Pay,"Vendor Selection, Tendering and Contracting","Suppliers are awarded work without competition or on terms that favour them, often where a personal interest exists.","Awarding work without competition costs money, and is often where undisclosed personal interests hide.",High,Fraud,"Assess whether sourcing is competitive, documented and free from undisclosed interest.","1. Tender thresholds and adherence to them
2. Evaluation criteria, scoring and evaluator independence
3. Single and sole-source justifications
4. Conflict of interest declarations from evaluators
5. Contract award terms versus what was tendered","1. Quantify spend awarded without competition and test the justification for the largest.
2. Re-perform the scoring on a sample of tenders and test whether the award followed the evaluation.
3. Test evaluator conflict declarations and match evaluators to winning suppliers for connections.
4. Compare final contract terms to the tendered terms and identify post-award concessions.
5. Test for purchases split to fall below the tender threshold.","1. Sole-source justification citing urgency repeatedly
2. Scoring changed after bids were opened
3. The same supplier winning every category with one buyer
4. Contracts amended in the supplier's favour shortly after award","1. Tender files and evaluation records
2. Contract register
3. Conflict of interest declarations
4. Spend analysis by supplier and buyer","1. % spend competitively tendered
2. Single-source awards
3. Post-award concessions"
